POST_CODE,CITY_CODE,CITY_NAME,PROV_CODE,ZONE_CODE,COMP_NAME,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
T4V0W9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0X1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0X2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0X3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0X4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0X5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0X6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0X7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0X8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0X9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Y1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Y2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Y3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Y4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Y5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Y6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Y7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Y8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Z1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Z2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Z3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Z4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Z5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Z6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Z7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Z8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V0Z9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1A1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1A2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1A3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1A4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1A5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1A6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1A7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
